Run time (s),Round,Exception,deadline,Agreement,Discounted,#agreeing,min.util.,max.util.,Dist. to Pareto,Dist. to Nash,Social Welfare,Agent 1,Agent 2,Utility 1,Utility 2,Disc. Util. 1,Disc. Util. 2,Perceived. Util. 1,Perceived. Util. 2,Profile 1,Profile 2,Domain,Utility product
0.02,4,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentLarry,Gravity,0.212060628840022,1.0,0.212060628840022,1.0,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
0.005,2,,1000rounds,Yes,No,2,0.21139,0.97068,0.0,0.59148,1.18208,Gravity,AgentLarry,0.970682271316616,0.211394160161577,0.970682271316616,0.211394160161577,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.20519656352870805
0.01,3,,1000rounds,Yes,No,2,0.25604,0.90437,0.0,0.45339,1.1604,AgentLarry,Gravity,0.256037221865097,0.904366242148259,0.256037221865097,0.904366242148259,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.2315514201882178
0.024,3,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,Gravity,AgentLarry,1.0,0.163577281235707,1.0,0.163577281235707,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
0.008,3,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentLarry,Gravity,0.212060628840022,1.0,0.212060628840022,1.0,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
0.015,4,,1000rounds,Yes,No,2,0.21139,0.97068,0.0,0.59148,1.18208,Gravity,AgentLarry,0.970682271316616,0.211394160161577,0.970682271316616,0.211394160161577,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.20519656352870805
0.004,3,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentLarry,Gravity,0.212060628840022,1.0,0.212060628840022,1.0,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
0.006,3,,1000rounds,Yes,No,2,0.34735,0.81135,0.05384,0.39941,1.1587,Gravity,AgentLarry,0.811350631173888,0.347345489133457,0.811350631173888,0.347345489133457,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.28181898184383314
0.009,4,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentLarry,Gravity,0.212060628840022,1.0,0.212060628840022,1.0,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
0.003,2,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,Gravity,AgentLarry,1.0,0.163577281235707,1.0,0.163577281235707,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
1302.642,1001,,1000rounds,Yes,No,2,0.4908,0.73806,0.08368,0.24003,1.22885,GaravelAgent,AgentGP,0.73805630946543,0.490796125911067,0.73805630946543,0.490796125911067,1.0,0.60641562079339,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.3622351773898526
1217.621,998,,1000rounds,Yes,No,2,0.21206,1.0,0.0,0.5368,1.21206,AgentGP,GaravelAgent,0.212060628840022,1.0,0.212060628840022,1.0,0.268580366249115,1.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.212060628840022
79.575,515,,1000rounds,Yes,No,2,0.34548,0.84437,0.02293,0.41388,1.18985,GaravelAgent,AgentGP,0.84437124264013,0.345482694002053,0.84437124264013,0.345482694002053,0.579582363449358,0.448110658413706,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.29171565164517327
185.311,641,,1000rounds,Yes,No,2,0.49435,0.80773,0.0,0.1965,1.30208,AgentGP,GaravelAgent,0.494350122502004,0.807726120056322,0.494350122502004,0.807726120056322,0.44229979336596,0.857116279069767,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.3992995063979112
1296.457,1001,,1000rounds,Yes,No,2,0.30889,0.89369,0.0,0.46871,1.20258,GaravelAgent,AgentGP,0.893685066825299,0.308890713144722,0.893685066825299,0.308890713144722,0.500455966649296,0.333301295572575,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.27605101761845513
49.404,515,,1000rounds,Yes,No,2,0.16808,0.8183,0.12306,0.51199,0.98638,AgentGP,GaravelAgent,0.168084035814948,0.818295860081694,0.168084035814948,0.818295860081694,0.574051296426282,0.813453752725007,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.1375424706531951
90.521,524,,1000rounds,Yes,No,2,0.34548,0.84437,0.02293,0.41388,1.18985,GaravelAgent,AgentGP,0.84437124264013,0.345482694002053,0.84437124264013,0.345482694002053,0.75,0.425475700663647,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.29171565164517327
1196.418,992,,1000rounds,Yes,No,2,0.3619,0.80823,0.0,0.32091,1.17013,AgentGP,GaravelAgent,0.361895781988341,0.808229302176421,0.361895781988341,0.808229302176421,0.150126398130441,0.763107606859184,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.292494775337027
1297.576,1001,,1000rounds,No,No,1,0.2,0.3,0.88555,0.98493,0.0,GaravelAgent,AgentGP,0.3,0.2,0.3,0.2,0.0,0.0,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.06
76.87,552,,1000rounds,Yes,No,2,0.36167,0.73114,0.07709,0.30927,1.09281,AgentGP,GaravelAgent,0.361670317916121,0.731138475840664,0.361670317916121,0.731138475840664,0.535514361622487,0.882245037339665,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.2644310849980011
1.722,952,,1000rounds,No,No,0,0.4,0.7,1.23537,1.26924,0.0,AuthenticAgent,winkyAgent,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
1.189,952,,1000rounds,No,No,0,0.4,0.7,1.23537,1.26924,0.0,winkyAgent,AuthenticAgent,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
2.53,952,,1000rounds,No,No,0,0.4,0.7,1.23537,1.26924,0.0,AuthenticAgent,winkyAgent,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
3.151,952,,1000rounds,No,No,0,0.4,0.7,1.23537,1.26924,0.0,winkyAgent,AuthenticAgent,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
,2,"Session genius.core.session.Sessionacdbdf5 failed: Failed to execute protocol: null:[agents.anac.y2019.authenticagent.AuthenticAgent, agents.anac.y2019.winkyagent.winkyAgent]",1000rounds,No,,0,,,,,,AuthenticAgent,winkyAgent,0.4,0.7,0.4,0.7,,,laptop_buyer_rv04_comp27,laptop_seller_rv07_comp27,Laptop,0.27999999999999997
3.118,952,,1000rounds,No,No,0,0.4,0.7,1.23537,1.26924,0.0,winkyAgent,AuthenticAgent,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
,2,"Session genius.core.session.Sessiona8c74e failed: Failed to execute protocol: null:[agents.anac.y2019.authenticagent.AuthenticAgent, agents.anac.y2019.winkyagent.winkyAgent]",1000rounds,No,,0,,,,,,AuthenticAgent,winkyAgent,0.4,0.7,0.4,0.7,,,laptop_buyer_rv04_comp27,laptop_seller_rv07_comp27,Laptop,0.27999999999999997
0.001,2,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,winkyAgent,AuthenticAgent,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.670923627182831,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
,18,"Session genius.core.session.Sessionaaa8d failed: Failed to execute protocol: Negotiating party AuthenticAgent timed out in chooseAction() method.: agent AuthenticAgent passed deadline and was killed:[agents.anac.y2019.authenticagent.AuthenticAgent, agents.anac.y2019.winkyagent.winkyAgent]",1000rounds,No,,0,,,,,,AuthenticAgent,winkyAgent,0.4,0.7,0.4,0.7,,,laptop_buyer_rv04_comp27,laptop_seller_rv07_comp27,Laptop,0.27999999999999997
,2,"Session genius.core.session.Sessionf2b07d failed: Failed to execute protocol: Negotiating party AuthenticAgent timed out in chooseAction() method.: agent AuthenticAgent passed deadline and was killed:[agents.anac.y2019.winkyagent.winkyAgent, agents.anac.y2019.authenticagent.AuthenticAgent]",1000rounds,No,,0,,,,,,winkyAgent,AuthenticAgent,0.4,0.7,0.4,0.7,,,laptop_buyer_rv04_comp27,laptop_seller_rv07_comp27,Laptop,0.27999999999999997
2.849,902,,1000rounds,Yes,No,2,0.43496,0.58769,0.22791,0.27099,1.02265,AgentPeraltaV2,TheNewDeal,0.434964639624579,0.587687839063054,0.434964639624579,0.587687839063054,0.395634855677415,0.521521585822911,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.25562342912980884
0.029,10,,1000rounds,Yes,No,2,0.34411,0.70805,0.15683,0.37893,1.05216,TheNewDeal,AgentPeraltaV2,0.708045363488014,0.344112266173226,0.708045363488014,0.344112266173226,0.928259761570304,0.439784830353271,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.243647094583306
0.073,31,,1000rounds,Yes,No,2,0.49435,0.80773,0.0,0.1965,1.30208,AgentPeraltaV2,TheNewDeal,0.494350122502004,0.807726120056322,0.494350122502004,0.807726120056322,0.597749003572116,0.836313277568688,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.3992995063979112
0.133,38,,1000rounds,Yes,No,2,0.16358,1.0,0.0,0.64756,1.16358,TheNewDeal,AgentPeraltaV2,1.0,0.163577281235707,1.0,0.163577281235707,0.646366100024636,0.367557543879473,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.163577281235707
0.042,22,,1000rounds,Yes,No,2,0.31792,0.90386,0.0,0.39734,1.22178,AgentPeraltaV2,TheNewDeal,0.317919188963266,0.903863060028161,0.317919188963266,0.903863060028161,0.164098612564016,0.921260177453255,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.2873554109780087
1.071,310,,1000rounds,Yes,No,2,0.31838,0.85469,0.0,0.37684,1.17306,TheNewDeal,AgentPeraltaV2,0.318375562014723,0.854686568090985,0.318375562014723,0.854686568090985,0.488009592326139,0.840504764054205,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.27211131646240216
0.023,19,,1000rounds,Yes,No,2,0.49435,0.80773,0.0,0.1965,1.30208,AgentPeraltaV2,TheNewDeal,0.494350122502004,0.807726120056322,0.494350122502004,0.807726120056322,0.316034697133685,0.665500300131264,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.3992995063979112
0.916,278,,1000rounds,Yes,No,2,0.49435,0.80773,0.0,0.1965,1.30208,TheNewDeal,AgentPeraltaV2,0.494350122502004,0.807726120056322,0.494350122502004,0.807726120056322,0.521731418319011,0.819714462536545,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.3992995063979112
0.136,46,,1000rounds,Yes,No,2,0.49435,0.80773,0.0,0.1965,1.30208,AgentPeraltaV2,TheNewDeal,0.494350122502004,0.807726120056322,0.494350122502004,0.807726120056322,0.446621171691285,0.990852956567242,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.3992995063979112
0.206,71,,1000rounds,Yes,No,2,0.39355,0.75027,0.1074,0.33716,1.14383,TheNewDeal,AgentPeraltaV2,0.750274744752803,0.393551163987972,0.750274744752803,0.393551163987972,0.903113349302987,0.516263670707499,ItexvsCypress_CypressA_rv03_comp30.xml,ItexvsCypress_ItexB_rv02_comp60.xml,Itex vs Cypress,0.29527149910824424
0.081,6,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,AgentLarry,dandikAgent,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
0.014,5,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,dandikAgent,AgentLarry,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
0.008,4,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,AgentLarry,dandikAgent,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
0.043,3,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,dandikAgent,AgentLarry,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
0.016,5,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,AgentLarry,dandikAgent,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
0.02,4,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,dandikAgent,AgentLarry,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
0.009,4,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,AgentLarry,dandikAgent,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
0.005,4,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,dandikAgent,AgentLarry,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
0.012,6,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,AgentLarry,dandikAgent,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
0.002,2,,1000rounds,Yes,No,2,0.81509,1.0,0.0,0.1949,1.81509,dandikAgent,AgentLarry,1.0,0.815089962283641,1.0,0.815089962283641,1.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.815089962283641
8.181,580,,1000rounds,Yes,No,2,0.61438,0.80652,0.09841,0.30542,1.4209,FSEGA2019,KAgent,0.614382867164651,0.806517565003646,0.614382867164651,0.806517565003646,0.671774051191526,0.602689601613825,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.4955105740055928
6.203,407,,1000rounds,Yes,No,2,0.73322,0.91087,0.0,0.0,1.64409,KAgent,FSEGA2019,0.910874628408291,0.733216438455637,0.910874628408291,0.733216438455637,0.82327063904448,0.752582321039562,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.6678682509211289
5.456,372,,1000rounds,Yes,No,2,0.70021,0.87123,0.0,0.25185,1.57144,FSEGA2019,KAgent,0.700208290904103,0.871228654590907,0.700208290904103,0.871228654590907,0.769533261551425,0.635328410030234,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.61004152721778
5.199,390,,1000rounds,Yes,No,2,0.77706,0.84346,0.0,0.08042,1.62052,KAgent,FSEGA2019,0.843458093198459,0.77706435235948,0.843458093198459,0.77706435235948,0.659496883492288,0.761018444057479,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.6554212169336224
4.577,369,,1000rounds,Yes,No,2,0.52267,0.63331,0.32456,0.34839,1.15598,FSEGA2019,KAgent,0.633313092340194,0.522665052390842,0.633313092340194,0.522665052390842,0.75631375760267,1.0,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.3310106205877937
4.963,352,,1000rounds,Yes,No,2,0.54764,0.74941,0.18378,0.3636,1.29705,KAgent,FSEGA2019,0.547635869512325,0.749414611675584,0.547635869512325,0.749414611675584,1.0,0.758793564843396,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.4104063224901998
2.842,179,,1000rounds,Yes,No,2,0.63143,0.80967,0.08549,0.28971,1.4411,FSEGA2019,KAgent,0.63143247429796,0.809668677087069,0.63143247429796,0.809668677087069,0.872881834309983,0.558317206048127,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.511251096134644
8.822,898,,1000rounds,Yes,No,2,0.33691,0.43244,0.56358,0.64799,0.76936,KAgent,FSEGA2019,0.336914541574916,0.432443671266129,0.336914541574916,0.432443671266129,1.0,0.530690862198671,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.14569656126160152
0.773,45,,1000rounds,Yes,No,2,0.7036,0.81216,0.04947,0.2218,1.51576,FSEGA2019,KAgent,0.703604274696403,0.812160223607173,0.703604274696403,0.812160223607173,0.952246822904381,0.545125264560204,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.5714394050683934
9.687,974,,1000rounds,Yes,No,2,0.29905,0.6369,0.41399,0.61936,0.93595,KAgent,FSEGA2019,0.299050073004193,0.636897577454294,0.299050073004193,0.636897577454294,0.957837326728776,0.539000237470395,England_rv03_comp20.xml,Zimbabwe_rv03_comp200.xml,England vs Zimbabwe,0.1904642670339003
2.286,1001,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,Gravity,HardDealer,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
3.208,1001,,1000rounds,No,No,1,0.4,0.7,1.23537,1.26924,0.0,HardDealer,Gravity,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
1.916,1001,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,Gravity,HardDealer,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
2.57,1001,,1000rounds,No,No,1,0.4,0.7,1.23537,1.26924,0.0,HardDealer,Gravity,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
2.445,1001,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,Gravity,HardDealer,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
2.83,1001,,1000rounds,No,No,1,0.4,0.7,1.23537,1.26924,0.0,HardDealer,Gravity,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
2.614,1001,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,Gravity,HardDealer,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
2.216,1001,,1000rounds,No,No,1,0.4,0.7,1.23537,1.26924,0.0,HardDealer,Gravity,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
2.46,1001,,1000rounds,Yes,No,2,0.72535,1.0,0.0,0.13911,1.72535,Gravity,HardDealer,0.725352816943306,1.0,0.725352816943306,1.0,0.0,1.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.725352816943306
2.538,1001,,1000rounds,No,No,1,0.4,0.7,1.23537,1.26924,0.0,HardDealer,Gravity,0.4,0.7,0.4,0.7,0.0,0.0,laptop_buyer_rv04_comp27.xml,laptop_seller_rv07_comp27.xml,Laptop,0.27999999999999997
1.512,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,AuthenticAgent,dandikAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
1.83,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,dandikAgent,AuthenticAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
1.749,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,AuthenticAgent,dandikAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
1.607,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,dandikAgent,AuthenticAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
2.075,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,AuthenticAgent,dandikAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
1.854,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,dandikAgent,AuthenticAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
1.673,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,AuthenticAgent,dandikAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
1.808,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,dandikAgent,AuthenticAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
2.518,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,AuthenticAgent,dandikAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
2.002,952,,1000rounds,No,No,0,0.5,0.5,1.22373,1.29625,0.0,dandikAgent,AuthenticAgent,0.5,0.5,0.5,0.5,0.0,0.0,party5_rv05_comp100.xml,party6_rv05_comp100.xml,Party,0.25
5.801,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,GaravelAgent,Gravity,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.726,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,Gravity,GaravelAgent,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.3,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,GaravelAgent,Gravity,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.975,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,Gravity,GaravelAgent,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.859,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,GaravelAgent,Gravity,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.475,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,Gravity,GaravelAgent,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.799,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,GaravelAgent,Gravity,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.484,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,Gravity,GaravelAgent,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.926,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,GaravelAgent,Gravity,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
4.814,1001,,1000rounds,No,No,1,0.0,0.0,1.2798,1.282,0.0,Gravity,GaravelAgent,0.0,0.0,0.0,0.0,0.0,0.0,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.0
1.537,983,,1000rounds,Yes,No,2,0.81528,1.0,0.0,0.13759,1.81528,dandikAgent,winkyAgent,1.0,0.815283163766363,1.0,0.815283163766363,1.0,0.622843223466591,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.815283163766363
2.119,982,,1000rounds,Yes,No,2,0.79868,1.0,0.0,0.13577,1.79868,winkyAgent,dandikAgent,0.798680832921253,1.0,0.798680832921253,1.0,0.67917334628775,0.749567824536762,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.798680832921253
